Faixa Etária;Homens 1970;Mulheres 1970;Homens 2010;Mulheres 2010
0 a 4 ;7022222;6894012;7025701;6781032
5 a 9 ;6748539;6607954;7623609;7344159
10 a 14 ;5922976;5926119;8727095;8440040
15 a 19 ;5013764;5305903;8557608;8429180
20 a 24 ;4089101;4308933;8627665;8613199
25 a 29 ;3138621;3263720;8458790;8644127
30 a 34 ;2814900;2862102;7718081;8026535
35 a 39 ;2481474;2571274;6767177;7121014
40 a 44 ;2265837;2210102;6319971;6688525
45 a 49 ;1787155;1737386;5692722;6141925
50 a 54 ;1483694;1451283;4825839;5308482
55 a 59 ;1169517;1143170;3912544;4371889
60 a 64 ;913836;903013;3033130;3470156
65 a 69 ;618249;626039;2224862;2627927
70 a 74 ;396058;426081;1675553;2069185
75 a 79 ;199181;229863;1089024;1481662
80 a 84 ;;;666031;995492
85 a 89 ;;;311493;505310
90 a 94 ;;;113116;206843
95 a 99 ;;;29994;66437
100;;;6987;15689
